"","Row","MasterGridDataID","ObjLabel","TypeName","IsClosed","FilingDate","NumString","Applicant","Location","Descr","Status","StatusDate","ModifiedDate","PublicDocCount","Zoning","X","Y","HouseNum","HouseNumInt","StreetName","City","St","Zip","Parcel","Guid","Origin","Division","Last.Compliance.Date","Open.Violations","Total.Violations","Date.Received","Date.Certified.Letter.Sent","Date.Letter.Picked.Up","Address","Comments","id","address","city","stateprov","country","name","desc","color","Source.of.Concern","type","era","geometry"
"93",1681,232220,"Code Incident","Tall Grass and Weeds","False",2022-07-06,"2207C-0002-TGW","Anonymous","904 Vine St","Tall grass and weeds.","Tall Weeds and Grass Notice","7/8/2022 1:40:21 PM","7/8/2022 1:58:24 PM",0,NA,11382102.38,6846405.41,"904",904,"Vine St","Harrisonburg","VA",22802,"028 N 44","22f32515-df6a-449f-8c47-5ac7bf53b3b3","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8520206, 38.4480291)
"94",1682,232223,"Code Incident","Tall Grass and Weeds","False",2022-07-06,"2207C-0005-TGW","Anonymous","910 Vine St","Tall grass and weeds.","Tall Weeds and Grass Notice","7/8/2022 2:09:06 PM","7/8/2022 2:31:32 PM",0,NA,11382127.1,6846355.92,"910",910,"Vine St","Harrisonburg","VA",22802,"028 N 47","0a6f5ad0-f9a5-4a69-9a32-8620f3df97c0","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8519336, 38.4478934)
"95",1694,231983,"Code Incident","Tall Grass and Weeds","False",2022-06-13,"2206C-0013-TGW","Anonymous","717 Foley Rd","Tall grass and weeds.","Return Receipt Rc'd","6/23/2022 12:00:00 AM","7/12/2022 11:50:51 AM",0,NA,11381188.27,6836829.72,"717",717,"Foley Rd","Harrisonburg","VA",22801,"084 A  3","f4256bb7-9207-4fe4-a0ed-886a3b13104c","Citizen","P&Z","6/18/2022 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8550831, 38.4217251)
"96",1703,231982,"Code Incident","Tall Grass and Weeds","True",2022-06-13,"2206C-0012-TGW","Anonymous","774 Foley Rd","Tall grass and weeds.","Violations Remedied","6/29/2022 12:30:00 AM","7/19/2022 3:22:38 PM",0,NA,11380315.4,6836308.48,"774",774,"Foley Rd","Harrisonburg","VA",22801,"084 C 13","f124ce31-dc33-4ac4-8877-abdf2a797e85","Citizen","P&Z","6/18/2022 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8581227, 38.4202845)
"97",1705,232636,"Code Incident","Tall Grass and Weeds","False",2022-07-11,"2207C-0014-TGW","Anonymous","88 Kenmore St","Tall grass and weeds on an undeveloped property.","Return Receipt Rc'd","7/15/2022 12:00:00 AM","7/20/2022 12:20:15 PM",0,NA,11380475.5,6845018.71,"88",88,"Kenmore St","Harrisonburg","VA",22801,"027 M  6","459160df-e413-468a-ab1e-970052572eda","Citizen","P&Z","7/16/2022 10:30:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8576824, 38.444204)
"98",1706,232221,"Code Incident","Tall Grass and Weeds","False",2022-07-06,"2207C-0003-TGW","Anonymous","906 Vine St","Tall grass and weeds.","Return Receipt Rc'd","7/18/2022 12:00:00 AM","7/20/2022 12:25:30 PM",0,NA,11382108.97,6846389.98,"906",906,"Vine St","Harrisonburg","VA",22802,"028 N 45","b0f8c392-0e59-43f3-86d8-53ed63414df1","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8519974, 38.4479868)
"99",1709,232770,"Code Incident","Tall Grass and Weeds","False",2022-07-19,"2207C-0023-TGW","Anonymous","1205 Windsor Rd","Tall grass on the property","Verbal Notice","7/20/2022 5:04:13 PM","7/21/2022 10:07:44 AM",0,NA,11379202.31,6836102.87,"1205",1205,"Windsor Rd","Harrisonburg","VA",22801,"084 D 20","95f0744c-f3ca-453a-8612-1d6f33bc7111","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.862005, 38.4197079)
"100",1715,232254,"Code Incident","Tall Grass and Weeds","True",2022-07-08,"2207C-0013-TGW","Anonymous","1767 Pear St","Tall grass and weeds.","Violations Remedied","7/19/2022 12:30:00 AM","7/21/2022 4:29:06 PM",0,NA,11369003.44,6841066.57,"1767",1767,"Pear St","Harrisonburg","VA",22801,"009 T  2","e2422e93-f821-4b1e-928c-288a1b0fd6ae","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8976778, 38.4332221)
"101",4,232220,"Code Incident","Tall Grass and Weeds","False",2022-07-06,"2207C-0002-TGW","Anonymous","904 Vine St","Tall grass and weeds.","Tall Weeds and Grass Notice","7/8/2022 1:40:21 PM","7/8/2022 1:58:24 PM",0,NA,11382102.38,6846405.41,"904",904,"Vine St","Harrisonburg","VA",22802,"028 N 44","22f32515-df6a-449f-8c47-5ac7bf53b3b3","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8520206, 38.4480291)
"102",7,232254,"Code Incident","Tall Grass and Weeds","True",2022-07-08,"2207C-0013-TGW","Anonymous","1767 Pear St","Tall grass and weeds.","Violations Remedied","7/19/2022 12:30:00 AM","7/21/2022 4:29:06 PM",0,NA,11369003.44,6841066.57,"1767",1767,"Pear St","Harrisonburg","VA",22801,"009 T  2","e2422e93-f821-4b1e-928c-288a1b0fd6ae","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8976778, 38.4332221)
"103",12,232636,"Code Incident","Tall Grass and Weeds","True",2022-07-11,"2207C-0014-TGW","Anonymous","88 Kenmore St","Tall grass and weeds on an undeveloped property.","Violations Remedied","7/25/2022 12:30:00 AM","7/25/2022 10:47:24 AM",0,NA,11380475.5,6845018.71,"88",88,"Kenmore St","Harrisonburg","VA",22801,"027 M  6","459160df-e413-468a-ab1e-970052572eda","Citizen","P&Z","7/16/2022 10:30:00 AM",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8576824, 38.444204)
"104",50,233037,"Code Incident","Tall Grass and Weeds","False",2022-08-09,"2208C-0006-TGW","Anonymous","766 Madison St","Tall grass and weeds in the front yard.","2nd Notice - TGW","8/19/2022 11:46:41 AM","8/19/2022 3:49:49 PM",0,NA,11379157.54,6850044.89,"766",766,"Madison St","Harrisonburg","VA",22802,"041 M 11","b084b3b6-2f96-40ea-b913-d30fbf60e33e","Citizen","P&Z","8/13/2022 4:30:00 PM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8623534, 38.4579914)
"105",54,233231,"Code Incident","Tall Grass and Weeds","False",2022-08-22,"2208C-0025-TGW","Anonymous","1970 Lynne Pl","Tall Grass and Weeds on the property","Tall Weeds and Grass Notice","8/23/2022 12:15:44 PM","8/23/2022 12:40:54 PM",0,NA,11368965.6,6839097.41,"1970",1970,"Lynne Pl","Harrisonburg","VA",22801,"009 M 14","d045daee-0ccf-4358-9371-fc73988dc99b","Citizen","P&Z","8/28/2022 9:15:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8977802, 38.4278144)
"106",56,232223,"Code Incident","Tall Grass and Weeds","True",2022-07-06,"2207C-0005-TGW","Anonymous","910 Vine St","Tall grass and weeds.","Violations Remedied","8/1/2022 12:30:00 AM","8/23/2022 1:33:01 PM",0,NA,11382127.1,6846355.92,"910",910,"Vine St","Harrisonburg","VA",22802,"028 N 47","0a6f5ad0-f9a5-4a69-9a32-8620f3df97c0","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8519336, 38.4478934)
"107",57,232221,"Code Incident","Tall Grass and Weeds","True",2022-07-06,"2207C-0003-TGW","Anonymous","906 Vine St","Tall grass and weeds.","Violations Remedied","7/25/2022 12:30:00 AM","8/23/2022 1:41:34 PM",0,NA,11382108.97,6846389.98,"906",906,"Vine St","Harrisonburg","VA",22802,"028 N 45","b0f8c392-0e59-43f3-86d8-53ed63414df1","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8519974, 38.4479868)
"108",63,233283,"Code Incident","Tall Grass and Weeds","False",2022-08-26,"2208C-0030-TGW","Anonymous","2203 Reservoir St","Tall grass","Tall Weeds and Grass Notice","8/26/2022 10:12:09 AM","8/26/2022 10:26:48 AM",0,NA,11381575.95,6836754.23,"2203",2203,"Reservoir St","Harrisonburg","VA",22801,"080 A 14","73267056-c842-486c-a6ad-e4d2462104b5","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8537289, 38.4215219)
"109",64,233284,"Code Incident","Tall Grass and Weeds","False",2022-08-26,"2208C-0031-TGW","Anonymous","2201 Reservoir St","Tall grass and weeds","Tall Weeds and Grass Notice","8/26/2022 10:27:00 AM","8/26/2022 10:28:33 AM",0,NA,11381581.01,6836771.85,"2201",2201,"Reservoir St","Harrisonburg","VA",22801,"080 A 15","01fa9ed7-898c-46ea-99f8-fe46da4f9b26","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8537115, 38.4215704)
"110",67,232808,"Code Incident","Tall Grass and Weeds","True",2022-07-22,"2207C-0030-TGW","Anonymous","384 W Water St","Tall grass on the property.","Violations Remedied","8/29/2022 2:37:00 PM","8/29/2022 9:08:05 AM",0,NA,11375345.83,6846969.87,"384",384,"W Water St","Harrisonburg","VA",22801,"035 V  7","73e55254-bed6-4f74-bfba-b8a635ec5548","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8756208, 38.4495055)
