"","Row","MasterGridDataID","ObjLabel","TypeName","IsClosed","FilingDate","NumString","Applicant","Location","Descr","Status","StatusDate","ModifiedDate","PublicDocCount","Zoning","X","Y","HouseNum","HouseNumInt","StreetName","City","St","Zip","Parcel","Guid","Origin","Division","Last.Compliance.Date","Open.Violations","Total.Violations","Date.Received","Date.Certified.Letter.Sent","Date.Letter.Picked.Up","Address","Comments","id","address","city","stateprov","country","name","desc","color","Source.of.Concern","type","era","geometry"
"17",388,147930,"Code Incident","Tall Grass and Weeds","True",2018-09-20,"1809C-0026-TGW","Anonymous","685 E Wolfe St","Grass is over 20""","Tall Weeds and Grass Notice","9/26/2018 9:42:36 AM","10/24/2018 8:33:33 AM",0,"B-2",11380943.07,6846995.4,"685",685,"E Wolfe St","Harrisonburg","VA",22802,"033 V 15","9a28b692-b387-4c7f-a9cb-d1a323655873","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8560766, 38.4496369)
"18",427,147225,"Code Incident","Tall Grass and Weeds","True",2018-06-21,"1806C-0027-TGW","Anonymous","1284 Old Richmond Cir","Tall grass and weeds","2nd Notice - TGW","9/18/2018 12:27:45 PM","12/19/2018 8:41:49 AM",0,"R-4",11382486.45,6850070.96,"1284",1284,"Old Richmond Cir","Harrisonburg","VA",22802,"042 O 26","374f8bb8-713a-465e-bfc2-71b0214ef271","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8507284, 38.4580985)
"19",428,147931,"Code Incident","Tall Grass and Weeds","True",2018-09-20,"1809C-0027-TGW","Anonymous","309 W Water St","Tall grass and weeds","2nd Notice - TGW","10/22/2018 2:38:43 PM","12/19/2018 8:42:25 AM",0,"R-2",11375655.83,6846803.4,"309",309,"W Water St","Harrisonburg","VA",22801,"025 A 23","93609464-7d4f-4c0e-bb75-1ed9e2f2be15","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8745359, 38.4490519)
"20",442,147104,"Code Incident","Tall Grass and Weeds","True",2018-06-05,"1806C-0006-TGW","Anonymous","70 Baxter Dr","tgw","Tall Weeds and Grass Notice","8/1/2018 4:11:42 PM","1/23/2019 9:19:18 AM",0,"B-2",11366849.93,6833789.33,"70",70,"Baxter Dr","Harrisonburg","VA",22801,"001 C 11","99476093-ff68-498e-9ef8-2c38e89d26c4","CE Officer","P&Z","6/19/2018 12:00:00 AM",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.9050837, 38.4132133)
"21",523,149437,"Code Incident","Tall Grass and Weeds","True",2019-04-30,"1904C-0029-TGW","Anonymous","683 N Liberty St","tgw","Tall Weeds and Grass Notice","4/30/2019 4:22:36 PM","5/13/2019 2:30:03 PM",0,"R-2",11377701.04,6849991.8,"683",683,"N Liberty St","Harrisonburg","VA",22802,"040 S  4","38d10006-3d2f-4d9e-b765-67a91f9acbc8","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8674391, 38.4578297)
"22",532,149596,"Code Incident","Tall Grass and Weeds","True",2019-05-16,"1905C-0032-TGW","Anonymous","1177 Nelson Dr","Tall grass","Tall Weeds and Grass Notice","5/16/2019 9:20:42 AM","5/20/2019 11:31:11 AM",0,"R-1",11379473.72,6835342.54,"1177",1177,"Nelson Dr","Harrisonburg","VA",22801,"084 E  7","81819eb3-f98a-4cae-af67-684121dc5878","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8610473, 38.417623)
"23",533,149644,"Code Incident","Tall Grass and Weeds","True",2019-05-22,"1905C-0042-TGW","Anonymous","908 Circle Dr","Tall grass","Verbal Notice","5/22/2019 1:32:00 PM","5/22/2019 1:32:47 PM",0,"R-1",11371020.42,6845758.78,"908",908,"Circle Dr","Harrisonburg","VA",22801,"022 D 30","810f1ef7-c859-4a42-95bf-8c9a10ef902f","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8907062, 38.4461304)
"24",543,149526,"Code Incident","Tall Grass and Weeds","True",2019-05-08,"1905C-0014-TGW","Anonymous","448 W Bruce St","TGW","Tall Weeds and Grass Notice","5/22/2019 4:41:35 PM","6/4/2019 10:51:49 AM",0,"R-2",11374784.95,6846693.14,"448",448,"W Bruce St","Harrisonburg","VA",22801,"036 S  5","be7d3aa1-e87e-489e-b633-7411643051fc","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8775753, 38.4487393)
"25",574,149634,"Code Incident","Tall Grass and Weeds","True",2019-05-21,"1905C-0040-TGW","Anonymous","677 N Liberty St","Tall grass in rear yard","Tall Weeds and Grass Notice","5/21/2019 12:33:29 PM","6/11/2019 8:44:42 AM",0,"R-2",11377688.38,6849947.4,"677",677,"N Liberty St","Harrisonburg","VA",22802,"040 S  3","da1f827c-0f27-4b20-9e47-e6afec4cceec","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8674826, 38.4577076)
"26",593,149693,"Code Incident","Tall Grass and Weeds","True",2019-05-30,"1905C-0049-TGW","Anonymous","304 Monument Ave","Tall grass","Tall Weeds and Grass Notice","5/30/2019 11:34:37 AM","6/21/2019 9:33:51 AM",0,"R-1",11374265.82,6839269.57,"304",304,"Monument Ave","Harrisonburg","VA",22801,"","7a0fd113-0c71-4527-9a56-1312c3adbb1e","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8792809, 38.4283488)
"27",595,149633,"Code Incident","Tall Grass and Weeds","True",2019-05-21,"1905C-0039-TGW","Anonymous","727 Madison St","","Correction Notice","5/29/2019 8:53:39 AM","6/21/2019 9:37:03 AM",0,"R-2",11378682.71,6850197.91,"727",727,"Madison St","Harrisonburg","VA",NA,"040 P  1","43323b90-1b26-4754-95b3-a25e31d8caf2","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8640137, 38.4584064)
"28",598,149710,"Code Incident","Tall Grass and Weeds","True",2019-05-31,"1905C-0055-TGW","City of Harrisonburg Public Works","801 N Main St","Tall grass","Tall Weeds and Grass Notice","5/31/2019 2:00:10 PM","6/21/2019 2:19:53 PM",0,"M-1",11379513.61,6850010.27,"801",801,"N Main St","Harrisonburg","VA",22802,"041 L  1","09a88879-9a56-41f1-93ba-6213b3a85a99","Public Works","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8611094, 38.4579002)
"29",603,149828,"Code Incident","Tall Grass and Weeds","True",2019-06-17,"1906C-0020-TGW","Anonymous","1200 Portland Dr","TGW","Tall Weeds and Grass Notice","6/20/2019 12:05:37 PM","6/25/2019 10:57:21 AM",0,"R-1",11378396.03,6833861.37,"1200",1200,"Portland Dr","Harrisonburg","VA",22801,"088 E  3","2265568f-e0a3-4ec1-9675-99c40991b5fb","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8647882, 38.4135441)
"30",614,149802,"Code Incident","Tall Grass and Weeds","True",2019-06-12,"1906C-0013-TGW","Anonymous","77 Rockbridge Cir","Tall grass","Tall Weeds and Grass Notice","6/20/2019 12:29:21 PM","7/10/2019 2:45:46 PM",0,"R-2",11372142.65,6841400.2,"77",77,"Rockbridge Cir","Harrisonburg","VA",22801,"019 F 11","7aaebdbd-98b6-409a-9752-37dbcb2a336a","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8867237, 38.434175)
"31",618,149927,"Code Incident","Tall Grass and Weeds","True",2019-07-01,"1907C-0002-TGW","Anonymous","823 Greenbriar Dr","TGW","Tall Weeds and Grass Notice","7/1/2019 2:05:20 PM","7/12/2019 9:33:26 AM",0,"R-1",11376329.32,6838852.37,"823",823,"Greenbriar Dr","Harrisonburg","VA",22801,"012 K  4","7ca17be4-3e56-418f-ab2b-8844e1f75c47","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8720717, 38.4272263)
"32",737,149740,"Code Incident","Tall Grass and Weeds","True",2019-06-04,"1906C-0005-TGW","Anonymous","1021 Edom Rd","TGW","Correction Notice","6/21/2019 11:11:12 AM","10/9/2019 2:22:02 PM",0,"M-1",11377732.15,6850994.47,"1021",1021,"Edom Rd","Harrisonburg","VA",22802,"040 J 14","53a560ed-9464-4b99-806c-dbb4cd5f8833","CE Officer","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8673444, 38.4605833)
"33",747,216577,"Code Incident","Tall Grass and Weeds","True",2019-09-19,"1909C-0027-TGW","Anonymous","2289 Pearl Ln","Tall grass","Tall Weeds and Grass Notice","9/19/2019 4:28:14 PM","10/9/2019 4:48:29 PM",0,"R-3",11383124.42,6836731.77,"2289",2289,"Pearl Ln","Harrisonburg","VA",22801,"080 E  2","aa1fb6a0-53d1-4837-a0a0-ac15a2c1a39d","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8483237, 38.4214765)
"34",760,216944,"Code Incident","Tall Grass and Weeds","True",2019-09-12,"1910C-0023-TGW","Susan L Schuckman","1246 Goldfinch Dr Apt C","Tall grass","Door Hanger","10/13/2019 10:27:05 AM","10/24/2019 10:43:01 AM",0,"R-3",11384448.82,6847256.3,"1246",1246,"Goldfinch Dr","Harrisonburg","VA",22802,"031 I 23-C","dcf7fd8f-6bec-41ab-bf48-38a6dfa55921","Citizen","P&Z","",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,c(-78.8438386, 38.45039)
