latitude,longitude,name,desc,color
38.428172,-78.870663,900 Oak Hill Dr Harrisonburg        VA      US,-,
38.461396,-78.853432,1226 N Main St Harrisonburg        VA      US,-,
38.448715,-78.859385,552 E Market St Harrisonburg        VA      US,-,
38.43484,-78.886969,1424 Southampton Dr Harrisonburg        VA      US,-,
38.435222,-78.893997,1175 S High St Harrisonburg        VA      US,-,
38.428172,-78.870663,900 Oak Hill Dr Harrisonburg        VA      US,-,
38.450425,-78.844576,1214 Goldfinch Dr Harrisonburg        VA      US,-,
38.41553,-78.898509,301 Pointe Drive Harrisonburg        VA      US,-,
38.452921,-78.86164,434 Myrtle St Harrisonburg        VA      US,-,
38.455057,-78.860253,231 E Johnson St Harrisonburg        VA      US,-,
38.451173,-78.863996,238 Broad St Harrisonburg        VA      US,-,
38.435164,-78.888653,125 Southampton Dr Harrisonburg        VA      US,-,
38.440323,-78.868278,719 Ott St Harrisonburg        VA      US,-,
38.441035,-78.867469,630 Ott St Harrisonburg        VA      US,-,
38.440373,-78.868189,712 Ott St Harrisonburg        VA      US,-,
38.434812,-78.897573,232 Cedar St Harrisonburg        VA      US,-,
38.4576,-78.847499,Vine St Harrisonburg        VA      US,-,
38.447226,-78.865004,272 Newman Ave Harrisonburg        VA      US,-,
38.429329,-78.88014,233 Monument Ave Harrisonburg        VA      US,-,
38.460072,-78.868914,919 Collicello St Harrisonburg        VA      US,-,
38.414318,-78.884997,2125 Whisperong Springs Rd Harrisonburg        VA      US,-,
38.422136,-78.887601,330 Stone Spring Rd Harrisonburg        VA      US,-,
38.415289,-78.879897,1871 Manor Dr Harrisonburg        VA      US,-,
38.415543,-78.878747,1811 Manor Dr Harrisonburg        VA      US,-,
38.415502,-78.879578,1851 Manor Dr Harrisonburg        VA      US,-,
38.459443,-78.870184,849 Virginia Ave Harrisonburg        VA      US,-,
38.415555,-78.87897,1820 Manor Dr Harrisonburg        VA      US,-,
38.466944,-78.877869,1049 Chicago Ave Harrisonburg        VA      US,-,
38.450479,-78.861816,416 E Wolfe St Harrisonburg        VA      US,-,
38.435941,-78.895052,1177 Dale Circle Harrisonburg        VA      US,-,
38.450569,-78.844859,1204 Goldfinch Dr Harrisonburg        VA      US,-,
38.471777,-78.877994,1200 Park Rd Harrisonburg        VA      US,-,
38.416957,-78.862106,1181 Nelson Dr Harrisonburg        VA      US,-,
38.414745,-78.885052,2110 Whispering Springs Harrisonburg        VA      US,-,
38.428172,-78.870663,900 Oak Hill Dr Harrisonburg        VA      US,-,
38.450569,-78.844859,1204 Goldfinch Dr Harrisonburg        VA      US,-,
38.45048,-78.844691,1210 Goldfinch Dr Harrisonburg        VA      US,-,
38.454895,-78.859218,287 E Johnson St Harrisonburg        VA      US,-,
38.429807,-78.894144,89 Middlebrook St Harrisonburg        VA      US,-,
38.449606,-78.862646,398 E Elizabeth St Harrisonburg        VA      US,-,
38.433689,-78.84566,1681 E Market St Harrisonburg        VA      US,-,
38.451534,-78.869047,37 Shenadoah Ave Harrisonburg        VA      US,-,
38.460188,-78.874785,804 Chicago Ave Harrisonburg        VA      US,-,
38.450134,-78.869987,60 Graham St Harrisonburg        VA      US,-,
38.459115,-78.855837,1046 Moore St Harrisonburg        VA      US,-,
38.441601,-78.870553,650 S Mason St Harrisonburg        VA      US,-,
38.452734,-78.870299,129 W Rock St Harrisonburg        VA      US,-,
38.452764,-78.870483,139 W Rock St Harrisonburg        VA      US,-,
38.452776,-78.870556,143 W Rock St Harrisonburg        VA      US,-,
38.451755,-78.870406,120 W Wolfe St Harrisonburg        VA      US,-,
38.452982,-78.871864,305 N High St Harrisonburg        VA      US,-,
